env_name,method,seed,features_counted
twitter,AutoGPT,0,2
twitter,AutoGPT,1,0
twitter,AutoGPT,2,2
twitter,L2MAC,0,17
twitter,L2MAC,2,16
twitter,L2MAC,4,6
twitter,ZeroShot,0,3
twitter,ZeroShot,1,0
twitter,ZeroShot,2,4
url_shortener,AutoGPT,0,1
url_shortener,AutoGPT,1,7
url_shortener,AutoGPT,2,0
url_shortener,L2MAC,2,12
url_shortener,L2MAC,3,14
url_shortener,L2MAC,5,14
url_shortener,ZeroShot,2,7
url_shortener,ZeroShot,4,2
url_shortener,ZeroShot,5,7
whatsapp,AutoGPT,0,4
whatsapp,AutoGPT,1,5
whatsapp,AutoGPT,10,0
whatsapp,L2MAC,0,15
whatsapp,L2MAC,6,13
whatsapp,L2MAC,7,8
whatsapp,ZeroShot,0,3
whatsapp,ZeroShot,1,2
whatsapp,ZeroShot,4,1
